ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R01100,ñkäCìπ,éDñyés,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,12259,20261,178,1375,1205,6978,2142,5758,343
R01202,ñkäCìπ,îüäŸés,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,1231,3827,26,207,126,822,182,683,53
R01203,ñkäCìπ,è¨íMés,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,425,1932,11,80,78,338,105,334,23
R01204,ñkäCìπ,àÆêÏés,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1913,4617,36,225,171,1364,246,876,71
R01205,ñkäCìπ,é∫óñés,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,421,1236,6,52,40,249,56,193,11
R01206,ñkäCìπ,ã˙òHés,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,863,2271,15,78,85,379,107,374,26
R01207,ñkäCìπ,ë—çLés,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,1076,1839,17,110,96,538,145,417,29
R01208,ñkäCìπ,ñkå©és,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,611,1512,12,63,51,234,74,222,27
R01209,ñkäCìπ,ó[í£és,7334,3381,3953,7247,3373,3874,411,199,212,3093,1609,1484,3828,1571,2257,2262,818,1444,87,22,186,0,6,4,7,7,16,3
R01210,ñkäCìπ,ä‚å©ëÚés,79306,37105,42201,79031,36970,42061,7859,3961,3898,42391,21004,21387,28880,12062,16818,15113,5691,9422,196,369,1094,5,58,49,178,67,141,18
R01211,ñkäCìπ,ñ‘ëñés,35759,18060,17699,35429,17962,17467,3731,1932,1799,20405,11042,9363,11259,4818,6441,5595,2198,3397,321,200,427,3,14,15,54,20,53,4
R01212,ñkäCìπ,óØñGés,20114,9649,10465,19940,9610,10330,1711,885,826,9981,5234,4747,7425,3002,4423,3944,1467,2477,134,99,320,2,15,11,48,12,49,3
R01213,ñkäCìπ,ìœè¨ñqés,170113,83522,86591,168873,82739,86134,20426,10593,9833,96847,49324,47523,50022,21637,28385,23635,9242,14393,722,1139,1950,10,89,74,343,110,312,27
R01214,ñkäCìπ,ítì‡és,33563,16651,16912,33083,16509,16574,3484,1806,1678,18920,10016,8904,11025,4739,6286,5458,2105,3353,435,187,448,3,16,11,47,16,52,6
R01215,ñkäCìπ,î¸âSés,20413,9565,10848,20343,9527,10816,1539,813,726,10169,5143,5026,8642,3575,5067,4739,1786,2953,44,64,387,3,11,13,42,16,26,5
R01216,ñkäCìπ,à∞ï és,12555,5762,6793,12536,5758,6778,845,435,410,5705,2854,2851,5995,2464,3531,3412,1304,2108,17,40,280,2,3,8,15,9,22,1
R01217,ñkäCìπ,ç]ï és,121056,57523,63533,119589,56702,62887,13400,6786,6614,69555,34012,35543,36783,15876,20907,18112,7027,11085,635,638,1265,5,69,64,167,89,194,18
R01218,ñkäCìπ,ê‘ïΩés,9698,4388,5310,9631,4355,5276,603,299,304,4280,2139,2141,4669,1878,2791,2624,979,1645,67,25,228,2,3,5,25,6,23,2
R01219,ñkäCìπ,ñ‰ï és,21215,9901,11314,20674,9803,10871,1971,992,979,11515,5782,5733,7697,3104,4593,4066,1474,2592,529,91,336,5,7,10,38,13,26,5
R01220,ñkäCìπ,émï és,17858,8416,9442,17756,8349,9407,1652,855,797,8803,4490,4313,7350,3044,4306,4118,1590,2528,76,71,264,1,12,9,20,9,30,3
R01221,ñkäCìπ,ñºäÒés,27282,13322,13960,27014,13167,13847,3018,1561,1457,15232,7893,7339,8747,3682,5065,4754,1846,2908,50,161,297,4,10,15,88,22,56,5
R01222,ñkäCìπ,éOä}és,8040,3631,4409,8025,3621,4404,655,315,340,3566,1845,1721,3819,1471,2348,2253,779,1474,15,38,194,2,4,3,9,3,13,2
R01223,ñkäCìπ,ç™é∫és,24636,11762,12874,24249,11666,12583,2396,1217,1179,13370,6832,6538,8648,3550,5098,4569,1694,2875,306,115,385,1,7,9,33,12,28,7
R01224,ñkäCìπ,êÁçŒés,97950,49790,48160,97223,49450,47773,13012,6681,6331,62066,32906,29160,22690,10088,12602,10977,4484,6493,704,708,915,5,56,46,128,60,134,18
R01225,ñkäCìπ,ëÍêÏés,39490,18832,20658,39013,18548,20465,3995,2104,1891,21161,10702,10459,13821,5682,8139,7223,2735,4488,109,214,579,4,24,26,85,35,97,5
R01226,ñkäCìπ,çªêÏés,16486,7607,8879,16450,7588,8862,1388,682,706,8138,3985,4153,6404,2640,3764,3548,1346,2202,29,76,295,1,7,8,106,15,65,3
R01227,ñkäCìπ,âÃéuì‡és,2989,1399,1590,2979,1393,1586,142,80,62,1252,659,593,1592,658,934,888,318,570,10,6,67,1,4,1,2,1,5,1
R01228,ñkäCìπ,ê[êÏés,20039,9362,10677,19927,9311,10616,1634,853,781,9802,4981,4821,8544,3482,5062,4873,1831,3042,110,84,348,3,14,13,61,18,41,8
R01229,ñkäCìπ,ïxó«ñÏés,21131,9947,11184,20825,9818,11007,2211,1126,1085,11512,5645,5867,7255,3073,4182,3933,1515,2418,224,125,278,2,11,13,46,18,51,1
R01230,ñkäCìπ,ìoï és,46391,22146,24245,46118,22023,24095,4775,2480,2295,24170,12215,11955,17287,7373,9914,9013,3563,5450,167,243,624,6,18,21,52,25,49,5
R01231,ñkäCìπ,åbíÎés,70331,34088,36243,69840,33832,36008,8701,4476,4225,41413,20687,20726,19673,8560,11113,9795,3882,5913,438,424,669,5,35,37,119,42,129,10
R01233,ñkäCìπ,à…íBés,32826,15176,17650,32644,15144,17500,3355,1714,1641,16832,8168,8664,12601,5268,7333,6740,2581,4159,180,162,507,2,25,19,68,21,70,8
R01234,ñkäCìπ,ñkçLìáés,58171,27763,30408,57695,27517,30178,6395,3267,3128,32140,15829,16311,19380,8514,10866,9376,3876,5500,369,253,621,5,36,32,58,43,88,12
R01235,ñkäCìπ,êŒéÎés,56869,27324,29545,56418,27146,29272,6821,3502,3319,30645,15273,15372,19402,8549,10853,8958,3614,5344,451,279,615,4,26,23,59,33,78,14
R01236,ñkäCìπ,ñkìlés,44302,20542,23760,44002,20505,23497,5444,2808,2636,25434,12184,13250,13332,5541,7791,6564,2395,4169,300,247,525,0,27,16,25,18,43,9
R01303,ñkäCìπ,ìñï í¨,15916,7703,8213,15739,7612,8127,1178,589,589,8983,4509,4474,5553,2482,3071,2834,1157,1677,119,47,203,0,13,6,23,117,62,2
R01304,ñkäCìπ,êVé¬í√ë∫,3044,1484,1560,3035,1477,1558,300,160,140,1591,852,739,1142,467,675,666,238,428,8,14,66,0,3,1,2,3,2,0
R01331,ñkäCìπ,èºëOí¨,6260,2805,3455,6218,2800,3418,377,187,190,2611,1272,1339,3266,1343,1923,1804,675,1129,42,21,132,1,3,4,8,3,10,2
R01332,ñkäCìπ,ïüìáí¨,3794,1755,2039,3758,1753,2005,228,103,125,1711,871,840,1851,778,1073,973,364,609,36,13,81,0,3,2,2,2,2,1
R01333,ñkäCìπ,ímì‡í¨,4167,2060,2107,4104,2052,2052,357,176,181,2160,1156,1004,1649,727,922,854,320,534,63,14,63,0,4,2,2,2,1,1
R01334,ñkäCìπ,ñÿå√ì‡í¨,3832,1750,2082,3807,1745,2062,232,113,119,1678,831,847,1908,793,1115,1069,408,661,24,9,82,1,3,1,7,1,5,2
R01337,ñkäCìπ,éµî—í¨,27686,12679,15007,27574,12661,14913,3215,1637,1578,14743,6996,7747,9719,4040,5679,4906,1806,3100,112,138,394,2,17,10,36,13,25,6
R01343,ñkäCìπ,é≠ïîí¨,3760,1779,1981,3646,1756,1890,342,176,166,1901,919,982,1517,684,833,725,310,415,114,14,53,0,2,1,2,1,3,0
R01345,ñkäCìπ,êXí¨,14338,6658,7680,14000,6590,7410,1364,682,682,7403,3659,3744,5532,2289,3243,2727,1013,1714,313,57,251,2,7,6,17,7,11,3
R01346,ñkäCìπ,î™â_í¨,15826,7894,7932,15526,7746,7780,1591,831,760,8504,4600,3904,5534,2311,3223,2758,1006,1752,225,85,207,2,5,7,25,9,28,5
R01347,ñkäCìπ,í∑ñúïîí¨,5109,2448,2661,4932,2394,2538,415,200,215,2507,1337,1170,2088,854,1234,1193,419,774,177,23,93,1,2,3,4,4,5,1
R01361,ñkäCìπ,ç]ç∑í¨,7428,3569,3859,7406,3555,3851,589,295,294,3950,2097,1853,2846,1145,1701,1589,572,1017,19,25,104,2,4,4,15,4,16,4
R01362,ñkäCìπ,è„Émçëí¨,4306,1965,2341,4255,1944,2311,388,197,191,2047,986,1061,1868,779,1089,992,360,632,50,16,96,0,3,2,2,3,0,2
R01363,ñkäCìπ,å˙ëÚïîí¨,3592,1717,1875,3562,1711,1851,339,181,158,1713,882,831,1540,654,886,832,310,522,30,16,66,1,1,1,4,1,3,1
R01364,ñkäCìπ,â≥ïîí¨,3403,1538,1865,3386,1537,1849,284,142,142,1567,746,821,1552,650,902,857,332,525,17,14,66,1,1,1,4,2,3,1
R01367,ñkäCìπ,âúêKí¨,2410,1280,1130,2402,1276,1126,163,86,77,1250,774,476,997,420,577,543,207,336,8,10,55,1,3,0,3,1,2,0
R01370,ñkäCìπ,ç°ã‡í¨,5072,2446,2626,5068,2444,2624,468,236,232,2515,1334,1181,2089,876,1213,1176,458,718,4,22,85,1,4,2,6,2,9,1
R01371,ñkäCìπ,ÇπÇΩÇ»í¨,7398,3466,3932,7368,3462,3906,587,298,289,3323,1706,1617,3482,1459,2023,1985,764,1221,30,19,137,2,5,4,9,5,10,3
R01391,ñkäCìπ,ìáñqë∫,1356,687,669,1354,686,668,112,58,54,680,396,284,564,233,331,326,116,210,2,9,23,0,1,0,1,1,0,1
R01392,ñkäCìπ,éıìsí¨,2838,1397,1441,2784,1394,1390,258,139,119,1411,749,662,1167,508,659,641,240,401,54,14,47,0,3,2,5,2,2,1
R01393,ñkäCìπ,çïèºì‡í¨,2791,1353,1438,2775,1348,1427,304,163,141,1385,758,627,1102,432,670,686,238,448,16,9,42,0,5,1,6,1,2,1
R01394,ñkäCìπ,óñâzí¨,4568,2197,2371,4530,2175,2355,453,229,224,2285,1180,1105,1828,786,1042,1003,383,620,38,31,95,1,4,2,3,2,4,1
R01395,ñkäCìπ,ÉjÉZÉRí¨,5074,2624,2450,4799,2445,2354,619,339,280,2797,1484,1313,1307,595,712,637,245,392,246,42,56,0,2,2,2,3,4,1
R01396,ñkäCìπ,ê^éÎë∫,2045,1035,1010,2008,1006,1002,242,131,111,1098,602,496,705,302,403,389,148,241,37,13,29,0,3,1,2,1,3,1
R01397,ñkäCìπ,óØéıìsë∫,1911,971,940,1798,923,875,234,115,119,1184,638,546,493,218,275,270,106,164,113,14,18,0,2,1,2,1,0,1
R01398,ñkäCìπ,äÏñŒï í¨,2156,1112,1044,2093,1093,1000,177,92,85,1044,560,484,805,366,439,467,199,268,63,11,40,0,2,2,2,2,1,1
R01399,ñkäCìπ,ãûã…í¨,2941,1420,1521,2887,1410,1477,297,158,139,1446,733,713,1114,483,631,639,251,388,53,20,54,0,2,2,3,3,2,1
R01400,ñkäCìπ,ã‰ímà¿í¨,15129,7787,7342,14257,7301,6956,1941,999,942,9096,4995,4101,3731,1611,2120,1838,710,1128,589,126,121,1,11,7,41,9,28,2
R01401,ñkäCìπ,ã§òaí¨,5772,3047,2725,5763,3044,2719,650,340,310,3273,1884,1389,1826,800,1026,984,387,597,9,43,84,0,4,3,2,5,1,1
R01402,ñkäCìπ,ä‚ì‡í¨,11648,5500,6148,11599,5477,6122,1106,574,532,6157,3149,3008,4364,1757,2607,2283,830,1453,47,57,216,1,10,7,17,7,27,3
R01403,ñkäCìπ,îëë∫,1569,784,785,1566,784,782,147,80,67,797,461,336,625,243,382,383,133,250,3,9,41,0,3,1,2,1,0,1
R01404,ñkäCìπ,ê_åbì‡ë∫,870,400,470,869,399,470,65,28,37,357,195,162,448,177,271,280,89,191,1,4,20,0,1,1,2,1,0,1
R01405,ñkäCìπ,êœíOí¨,1831,855,976,1827,851,976,148,81,67,823,427,396,859,346,513,476,185,291,4,4,39,0,2,1,1,2,2,1
R01406,ñkäCìπ,å√ïΩí¨,2745,1307,1438,2692,1301,1391,207,111,96,1297,659,638,1154,492,662,643,255,388,53,3,56,0,1,2,1,2,2,1
R01407,ñkäCìπ,êmñÿí¨,3180,1526,1654,3113,1504,1609,344,178,166,1554,803,751,1282,545,737,673,247,426,67,19,56,0,3,2,2,2,1,1
R01408,ñkäCìπ,ó]ésí¨,18000,8342,9658,17863,8301,9562,1667,839,828,9020,4528,4492,7260,2943,4317,3830,1374,2456,125,83,288,1,14,12,27,15,36,3
R01409,ñkäCìπ,ê‘à‰êÏë∫,1165,606,559,1105,573,532,131,66,65,673,384,289,361,156,205,185,71,114,60,7,16,0,1,0,1,0,0,0
R01423,ñkäCìπ,ìÏñyí¨,7319,3461,3858,7273,3458,3815,693,357,336,4057,1981,2076,2555,1117,1438,1314,515,799,46,36,90,1,2,5,6,7,4,1
R01424,ñkäCìπ,ìﬁà‰ç]í¨,5120,2405,2715,5091,2389,2702,439,233,206,2490,1268,1222,2189,902,1287,1236,451,785,28,21,85,1,3,3,8,3,5,1
R01425,ñkäCìπ,è„çªêÏí¨,2841,1292,1549,2824,1281,1543,182,96,86,1201,613,588,1458,583,875,861,291,570,17,11,69,0,3,1,2,1,2,1
R01427,ñkäCìπ,óRêmí¨,4822,2302,2520,4798,2292,2506,401,219,182,2324,1202,1122,2044,851,1193,1135,419,716,24,16,83,0,5,4,4,5,5,2
R01428,ñkäCìπ,í∑è¿í¨,10289,4919,5370,10239,4889,5350,1010,520,490,5280,2701,2579,3969,1678,2291,2219,849,1370,26,50,145,1,6,4,11,5,24,2
R01429,ñkäCìπ,åIéRí¨,11272,5176,6096,11233,5152,6081,1083,491,592,5528,2769,2759,4636,1894,2742,2598,951,1647,35,60,183,1,8,8,14,9,21,3
R01430,ñkäCìπ,åéå`í¨,3691,2185,1506,3678,2174,1504,214,113,101,2064,1439,625,1376,610,766,782,297,485,13,12,69,1,4,2,3,2,5,1
R01431,ñkäCìπ,âYâPí¨,1732,845,887,1724,843,881,173,83,90,781,417,364,777,344,433,431,172,259,8,7,30,0,3,1,1,0,1,1
R01432,ñkäCìπ,êVè\í√êÏí¨,6484,2976,3508,6465,2968,3497,719,355,364,3099,1535,1564,2666,1086,1580,1537,581,956,19,27,95,1,2,3,8,4,10,1
R01433,ñkäCìπ,ñÖîwãçí¨,2693,1290,1403,2650,1256,1394,217,111,106,1207,638,569,1269,541,728,704,281,423,43,7,56,0,1,2,2,4,0,1
R01434,ñkäCìπ,íÅïÉï í¨,2329,1072,1257,2326,1071,1255,229,104,125,1093,544,549,985,411,574,590,220,370,3,14,37,0,2,1,1,1,1,1
R01436,ñkäCìπ,âJó≥í¨,2389,1165,1224,2380,1164,1216,194,101,93,1186,634,552,1009,430,579,588,220,368,9,4,44,1,1,1,2,1,1,1
R01437,ñkäCìπ,ñkó≥í¨,1724,823,901,1718,820,898,162,77,85,787,403,384,775,343,432,485,207,278,6,11,40,0,2,1,1,2,0,1
R01438,ñkäCìπ,è¿ìcí¨,2909,1392,1517,2903,1387,1516,257,122,135,1412,735,677,1240,535,705,716,279,437,6,14,41,0,3,2,2,2,1,1
R01452,ñkäCìπ,ëÈê≤í¨,6567,3105,3462,6564,3102,3462,804,435,369,3491,1679,1812,2272,991,1281,1182,477,705,3,30,78,0,2,2,1,2,3,3
R01453,ñkäCìπ,ìåê_äyí¨,10127,4702,5425,10084,4682,5402,1545,795,750,5638,2664,2974,2929,1232,1697,1544,573,971,43,46,119,0,3,4,10,6,4,2
R01454,ñkäCìπ,ìññÉí¨,6319,2912,3407,6309,2906,3403,649,308,341,3011,1480,1531,2659,1124,1535,1532,578,954,10,30,97,0,4,2,3,3,6,1
R01455,ñkäCìπ,î‰ïzí¨,3520,1662,1858,3517,1662,1855,353,174,179,1706,871,835,1461,617,844,848,320,528,3,13,47,0,4,1,1,2,3,1
R01456,ñkäCìπ,à§ï í¨,2605,1215,1390,2565,1213,1352,221,125,96,1178,585,593,1206,505,701,703,274,429,40,7,48,0,2,1,1,1,1,1
R01457,ñkäCìπ,è„êÏí¨,3500,1708,1792,3452,1688,1764,263,133,130,1687,931,756,1550,644,906,880,342,538,48,17,43,0,3,3,3,3,6,1
R01458,ñkäCìπ,ìåêÏí¨,8314,3877,4437,8048,3771,4277,1085,547,538,4469,2162,2307,2759,1168,1591,1490,572,918,266,40,103,0,3,3,3,3,7,1
R01459,ñkäCìπ,î¸âlí¨,9668,4495,5173,9582,4459,5123,927,430,497,4992,2479,2513,3749,1586,2163,2133,832,1301,86,42,140,1,3,4,8,5,14,2
R01460,ñkäCìπ,è„ïxó«ñÏí¨,10348,5363,4985,10266,5330,4936,1195,642,553,5741,3210,2531,3314,1446,1868,1760,721,1039,60,64,111,1,4,6,5,7,15,4
R01461,ñkäCìπ,íÜïxó«ñÏí¨,4733,2260,2473,4699,2255,2444,594,295,299,2406,1199,1207,1731,764,967,962,387,575,34,24,81,1,1,2,2,2,3,1
R01462,ñkäCìπ,ìÏïxó«ñÏí¨,2376,1228,1148,2358,1218,1140,250,123,127,1355,772,583,766,328,438,438,161,277,18,10,46,0,6,1,2,1,4,2
R01463,ñkäCìπ,êËä•ë∫,1306,653,653,1161,572,589,100,46,54,847,432,415,305,142,163,142,58,84,145,9,10,0,2,3,1,1,0,0
R01464,ñkäCìπ,òaä¶í¨,3192,1497,1695,3170,1482,1688,308,170,138,1470,743,727,1414,584,830,853,324,529,22,13,51,1,4,2,3,3,4,1
R01465,ñkäCìπ,åïï£í¨,2926,1425,1501,2925,1425,1500,279,161,118,1451,749,702,1196,515,681,658,251,407,1,16,38,0,3,2,1,2,2,1
R01468,ñkäCìπ,â∫êÏí¨,3126,1491,1635,3100,1479,1621,316,160,156,1514,789,725,1257,523,734,713,275,438,26,17,60,1,1,1,0,1,3,1
R01469,ñkäCìπ,î¸ê[í¨,4145,2038,2107,4110,2021,2089,369,197,172,2075,1095,980,1699,744,955,974,395,579,35,15,64,1,4,1,3,3,1,1
R01470,ñkäCìπ,âπà–éqï{ë∫,706,365,341,705,364,341,44,22,22,432,238,194,208,97,111,115,49,66,1,7,8,0,1,0,1,0,1,0
R01471,ñkäCìπ,íÜêÏí¨,1528,805,723,1495,786,709,140,73,67,770,456,314,593,264,329,354,145,209,8,5,25,0,2,1,1,1,1,1
R01472,ñkäCìπ,ñyâ¡ì‡í¨,1370,681,689,1368,680,688,120,68,52,691,370,321,559,243,316,344,143,201,2,4,27,0,5,1,2,1,1,1
R01481,ñkäCìπ,ëùñ—í¨,3908,1776,2132,3828,1752,2076,323,172,151,1857,937,920,1728,667,1061,950,330,620,80,21,89,0,5,1,2,2,4,1
R01482,ñkäCìπ,è¨ïΩí¨,2994,1431,1563,2927,1411,1516,265,146,119,1527,790,737,1201,494,707,703,263,440,67,13,53,0,3,2,1,1,0,0
R01483,ñkäCìπ,ìœëOí¨,2936,1428,1508,2910,1418,1492,285,153,132,1463,769,694,1186,505,681,708,282,426,26,9,52,0,3,2,2,1,1,2
R01484,ñkäCìπ,âHñyí¨,6548,3163,3385,6526,3150,3376,619,337,282,3096,1680,1416,2832,1145,1687,1607,591,1016,22,26,91,2,4,3,13,3,12,1
R01485,ñkäCìπ,èâéRï ë∫,1080,518,562,1072,512,560,90,46,44,569,285,284,421,187,234,254,104,150,8,7,17,0,4,1,2,1,0,0
R01486,ñkäCìπ,âìï í¨,2520,1222,1298,2460,1201,1259,248,129,119,1238,658,580,1034,435,599,592,227,365,60,9,59,1,1,1,1,1,4,1
R01487,ñkäCìπ,ìVâñí¨,2950,1478,1472,2912,1459,1453,300,152,148,1545,848,697,1097,472,625,543,206,337,34,12,31,1,1,2,1,2,3,1
R01511,ñkäCìπ,âéï•ë∫,2611,1285,1326,2450,1250,1200,366,183,183,1622,832,790,615,264,351,290,107,183,161,20,33,1,3,1,2,1,0,2
R01512,ñkäCìπ,ïlì⁄ï í¨,3448,1675,1773,3367,1665,1702,312,151,161,1831,968,863,1293,544,749,667,257,410,75,15,47,1,2,2,2,0,5,1
R01513,ñkäCìπ,íÜì⁄ï í¨,1637,818,819,1633,816,817,160,80,80,822,459,363,655,279,376,379,156,223,4,11,31,1,3,1,2,1,2,1
R01514,ñkäCìπ,é}çKí¨,7565,3600,3965,7435,3588,3847,790,389,401,4078,2079,1999,2696,1132,1564,1387,535,852,130,44,127,1,4,4,4,4,7,2
R01516,ñkäCìπ,ñLïxí¨,3974,2098,1876,3932,2086,1846,388,218,170,2114,1172,942,1357,613,744,680,261,419,42,23,52,0,3,2,2,1,2,1
R01517,ñkäCìπ,óÁï∂í¨,2509,1284,1225,2481,1280,1201,259,133,126,1340,727,613,910,424,486,462,194,268,28,12,42,0,3,2,1,1,0,2
R01518,ñkäCìπ,óòêKí¨,2004,994,1010,2003,993,1010,185,94,91,1010,543,467,809,357,452,450,175,275,1,9,35,1,1,2,3,2,5,2
R01519,ñkäCìπ,óòêKïxémí¨,2458,1188,1270,2447,1187,1260,252,138,114,1265,657,608,941,393,548,553,209,344,11,14,53,0,3,2,2,2,3,2
R01520,ñkäCìπ,ñyâÑí¨,2371,1290,1081,2343,1275,1068,274,136,138,1416,849,567,681,305,376,306,111,195,28,18,35,0,4,1,0,1,1,1
R01543,ñkäCìπ,î¸ñyí¨,18697,9063,9634,18609,9051,9558,1928,990,938,10043,5189,4854,6713,2872,3841,3523,1377,2146,88,88,266,2,10,10,21,17,23,3
R01544,ñkäCìπ,í√ï í¨,4373,2096,2277,4363,2093,2270,365,179,186,1940,1056,884,1978,816,1162,1082,394,688,9,17,79,1,1,1,4,2,5,1
R01545,ñkäCìπ,éŒó¢í¨,11418,5672,5746,11231,5611,5620,1337,687,650,6221,3307,2914,3839,1659,2180,1940,764,1176,187,65,140,1,3,6,8,6,3,3
R01546,ñkäCìπ,ê¥ó¢í¨,3883,1882,2001,3879,1879,2000,453,247,206,1868,972,896,1484,628,856,865,327,538,2,24,66,0,2,2,2,2,3,2
R01547,ñkäCìπ,è¨ê¥êÖí¨,4623,2207,2416,4600,2206,2394,533,274,259,2312,1171,1141,1772,758,1014,980,379,601,23,25,90,1,1,1,5,1,7,1
R01549,ñkäCìπ,åPéqï{í¨,4677,2241,2436,4649,2228,2421,531,270,261,2314,1167,1147,1828,800,1028,989,390,599,28,25,77,0,2,2,1,3,2,1
R01550,ñkäCìπ,íuåÀí¨,2775,1281,1494,2770,1280,1490,270,127,143,1261,652,609,1244,502,742,743,278,465,5,16,58,1,1,1,2,1,3,1
R01552,ñkäCìπ,ç≤òCä‘í¨,4875,2296,2579,4653,2267,2386,492,259,233,2458,1212,1246,1924,824,1100,1055,428,627,222,25,82,0,2,2,2,2,3,1
R01555,ñkäCìπ,âìåyí¨,19241,9337,9904,19172,9320,9852,1961,1020,941,9521,4972,4549,7230,3041,4189,4019,1587,2432,69,93,286,2,14,10,48,11,41,8
R01559,ñkäCìπ,óNï í¨,8270,3947,4323,8125,3913,4212,781,391,390,4243,2186,2057,3246,1370,1876,1810,690,1120,145,45,158,1,3,3,2,5,5,4
R01560,ñkäCìπ,ëÍè„í¨,2421,1177,1244,2396,1165,1231,202,106,96,1135,607,528,1084,464,620,619,250,369,25,14,33,1,2,1,4,1,3,1
R01561,ñkäCìπ,ãªïîí¨,3628,1768,1860,3543,1740,1803,450,231,219,1969,1040,929,1209,497,712,624,236,388,85,28,38,1,0,2,2,2,3,2
R01562,ñkäCìπ,êºãªïîë∫,1053,520,533,1025,505,520,104,56,48,576,321,255,373,143,230,244,79,165,28,10,26,0,2,1,1,1,0,0
R01563,ñkäCìπ,óYïêí¨,4199,1999,2200,3971,1932,2039,432,221,211,2347,1191,1156,1420,587,833,753,288,465,228,23,67,1,2,1,3,2,5,1
R01564,ñkäCìπ,ëÂãÛí¨,6775,3287,3488,6762,3281,3481,798,396,402,3470,1790,1680,2507,1101,1406,1313,514,799,13,27,120,1,4,3,4,4,4,0
R01571,ñkäCìπ,ñLâYí¨,3821,1781,2040,3759,1749,2010,386,194,192,1916,960,956,1512,623,889,868,320,548,62,12,71,1,5,1,2,1,2,2
R01575,ñkäCìπ,ësïÀí¨,2743,1285,1458,2717,1276,1441,227,121,106,1227,619,608,1237,516,721,736,268,468,26,8,40,1,1,1,10,1,5,1
R01578,ñkäCìπ,îíòVí¨,16212,7706,8506,16014,7666,8348,1104,557,547,7639,3908,3731,7428,3212,4216,3901,1565,2336,189,43,271,1,6,8,10,10,5,4
R01581,ñkäCìπ,å˙ê^í¨,4432,2249,2183,4386,2209,2177,567,302,265,2236,1207,1029,1613,728,885,885,365,520,46,29,60,0,1,2,2,2,2,2
R01584,ñkäCìπ,ì¥ñÍåŒí¨,8442,3909,4533,8352,3870,4482,706,361,345,4031,1981,2050,3679,1548,2131,2105,798,1307,88,33,169,2,7,4,17,6,21,4
R01585,ñkäCìπ,à¿ïΩí¨,7340,3632,3708,7267,3603,3664,754,361,393,3873,2093,1780,2712,1177,1535,1473,589,884,73,30,125,1,4,4,3,4,6,2
R01586,ñkäCìπ,ÇﬁÇ©ÇÌí¨,7651,3779,3872,7509,3687,3822,707,352,355,3781,2035,1746,3122,1361,1761,1675,667,1008,142,35,110,1,3,4,6,5,6,2
R01601,ñkäCìπ,ì˙çÇí¨,11279,5712,5567,11019,5509,5510,1209,630,579,6008,3292,2716,4062,1790,2272,2145,875,1270,260,65,174,1,7,7,11,7,14,4
R01602,ñkäCìπ,ïΩéÊí¨,4776,2395,2381,4649,2318,2331,553,289,264,2537,1377,1160,1680,725,955,874,343,531,127,20,78,1,2,4,4,4,4,4
R01604,ñkäCìπ,êVä•í¨,5309,2603,2706,5163,2502,2661,656,316,340,2894,1538,1356,1747,741,1006,920,350,570,146,22,83,0,4,2,3,2,3,1
R01607,ñkäCìπ,âYâÕí¨,12074,5975,6099,11818,5758,6060,1242,654,588,6735,3629,3106,4097,1692,2405,2153,800,1353,256,73,133,1,8,7,24,8,23,7
R01608,ñkäCìπ,óléóí¨,4043,1923,2120,4017,1913,2104,363,185,178,1970,984,986,1710,754,956,873,338,535,26,17,73,0,3,2,1,2,3,1
R01609,ñkäCìπ,Ç¶ÇËÇ‡í¨,4374,2230,2144,4335,2206,2129,537,271,266,2398,1334,1064,1438,624,814,668,244,424,39,18,78,0,5,2,4,2,2,3
